d,o,h,l,c,v
2019/6/10,47.952499,48.842499,47.904999,48.145,104883600
2019/6/11,48.715,49,48.400002,48.702499,107731600
2019/6/12,48.487499,48.9925,48.3475,48.547501,73012800
2019/6/13,48.674999,49.197498,48.400002,48.537498,86698400
2019/6/14,47.887501,48.397499,47.575001,48.185001,75046000
2019/6/17,48.224998,48.740002,48.0425,48.4725,58676400
2019/6/18,49.012501,50.072498,48.802502,49.612499,106204000
2019/6/19,49.919998,49.970001,49.327499,49.467499,84496800
2019/6/20,50.092499,50.1525,49.5075,49.865002,86056000
2019/6/21,49.700001,50.212502,49.537498,49.695,191202400
2019/6/24,49.634998,50.040001,49.5425,49.645,72881600
2019/6/25,49.607498,49.814999,48.822498,48.892502,84281200
2019/6/26,49.442501,50.247501,49.337502,49.950001,104270000
2019/6/27,50.072498,50.392502,49.892502,49.935001,83598800
2019/6/28,49.669998,49.875,49.262501,49.48,124442400
2019/7/1,50.7925,51.122501,50.162498,50.387501,109012000
2019/7/2,50.352501,50.782501,50.34,50.682499,67740800
2019/7/3,50.82,51.110001,50.672501,51.102501,45448000
2019/7/5,50.837502,51.27,50.724998,51.057499,69062000
2019/7/8,50.202499,50.349998,49.602501,50.005001,101354400
2019/7/9,49.799999,50.377499,49.702499,50.310001,82312000
2019/7/10,50.462502,50.932499,50.389999,50.807499,71588400
2019/7/11,50.827499,51.0975,50.427502,50.4375,80767200
2019/7/12,50.612499,51,50.549999,50.825001,70380800
2019/7/15,51.022499,51.467499,51,51.302502,67789600
2019/7/16,51.147499,51.5275,50.875,51.125,67467200
2019/7/17,51.012501,51.272499,50.817501,50.837502,56430000
2019/7/18,51,51.470001,50.924999,51.415001,74162400
2019/7/19,51.447498,51.625,50.59,50.647499,83717200
2019/7/22,50.912498,51.807499,50.9025,51.805,89111600
2019/7/23,52.115002,52.227501,51.822498,52.209999,73420800
2019/7/24,51.9175,52.287498,51.7925,52.1675,59966400
2019/7/25,52.2225,52.310001,51.682499,51.755001,55638400
2019/7/26,51.869999,52.432499,51.785,51.935001,70475600
2019/7/29,52.115002,52.66,52.110001,52.419998,86693600
2019/7/30,52.189999,52.540001,51.827499,52.195,135742800
2019/7/31,54.105,55.342499,52.825001,53.259998,277125600
2019/8/1,53.474998,54.5075,51.685001,52.107498,216071600
2019/8/2,51.3825,51.607498,50.407501,51.005001,163448400
2019/8/5,49.497501,49.662498,48.145,48.334999,209572000
2019/8/6,49.077499,49.517502,48.509998,49.25,143299200
2019/8/7,48.852501,49.889999,48.455002,49.759998,133457600
2019/8/8,50.049999,50.8825,49.8475,50.857498,108038000
2019/8/9,50.325001,50.689999,49.822498,50.247501,98478800
2019/8/12,49.904999,50.512501,49.787498,50.119999,89927600
2019/8/13,50.255001,53.035,50.119999,52.2425,188874000
2019/8/14,50.790001,51.610001,50.647499,50.6875,146189600
2019/8/15,50.865002,51.285,49.9175,50.435001,108909600
2019/8/16,51.07,51.790001,50.959999,51.625,110481600
2019/8/19,52.654999,53.182499,52.5075,52.587502,97654400
2019/8/20,52.720001,53.337502,52.580002,52.59,107537200
2019/8/21,53.247501,53.412498,52.900002,53.16,86141600
2019/8/22,53.297501,53.610001,52.6875,53.115002,89014800
2019/8/23,52.357498,53.012501,50.25,50.66,187272000
2019/8/26,51.465,51.797501,51.264999,51.622501,104174400
2019/8/27,51.965,52.137501,50.8825,51.040001,103493200
2019/8/28,51.025002,51.43,50.830002,51.3825,63755200
2019/8/29,52.125,52.330002,51.665001,52.252499,83962000
2019/8/30,52.540001,52.612499,51.799999,52.185001,84573600
2019/9/3,51.607498,51.744999,51.055,51.424999,80092000
2019/9/4,52.0975,52.369999,51.830002,52.297501,76752400
2019/9/5,53,53.4925,52.877499,53.32,95654800
2019/9/6,53.512501,53.605,53.127499,53.314999,77449200
2019/9/9,53.709999,54.110001,52.767502,53.5425,109237600
2019/9/10,53.465,54.195,52.927502,54.174999,127111600
2019/9/11,54.517502,55.927502,54.432499,55.897499,177158400
2019/9/12,56.200001,56.605,55.715,55.772499,128906800
2019/9/13,55,55.197498,54.255001,54.6875,159053200
2019/9/16,54.432499,55.032501,54.389999,54.974998,84632400
2019/9/17,54.990002,55.205002,54.779999,55.174999,73274800
2019/9/18,55.264999,55.712502,54.860001,55.692501,101360000
2019/9/19,55.502499,55.939999,55.092499,55.240002,88242400
2019/9/20,55.345001,55.639999,54.3675,54.432499,221652400
2019/9/23,54.737499,54.959999,54.412498,54.68,76662000
2019/9/24,55.2575,55.622501,54.297501,54.419998,124763200
2019/9/25,54.637501,55.375,54.285,55.2575,87613600
2019/9/26,55,55.235001,54.7075,54.9725,75334000
2019/9/27,55.134998,55.240002,54.32,54.705002,101408000
2019/9/30,55.224998,56.145,55.197498,55.9925,103909600
2019/10/1,56.267502,57.055,56.049999,56.147499,139223200
2019/10/2,55.764999,55.895,54.482498,54.740002,138449200
2019/10/3,54.607498,55.240002,53.782501,55.205002,114426000
2019/10/4,56.41,56.872501,55.9725,56.752499,138478800
2019/10/7,56.567501,57.482498,56.459999,56.764999,122306000
2019/10/8,56.455002,57.014999,56.0825,56.099998,111820000
2019/10/9,56.7575,56.947498,56.41,56.7575,74770400
2019/10/10,56.982498,57.610001,56.825001,57.522499,113013600
2019/10/11,58.237499,59.41,58.077499,59.052502,166795600
2019/10/14,58.724998,59.532501,58.6675,58.967499,96427600
2019/10/15,59.0975,59.412498,58.720001,58.830002,87360000
2019/10/16,58.342499,58.810001,58.299999,58.592499,73903200
2019/10/17,58.772499,59.037498,58.380001,58.82,67585200
2019/10/18,58.647499,59.395,58.572498,59.102501,97433600
2019/10/21,59.380001,60.247501,59.330002,60.127499,87247200
2019/10/22,60.290001,60.549999,59.904999,59.990002,82293600
2019/10/23,60.525002,60.810001,60.305,60.794998,75828800
2019/10/24,61.127499,61.200001,60.452499,60.895,69275200
2019/10/25,60.790001,61.682499,60.720001,61.645,73477200
2019/10/28,61.855,62.3125,61.68,62.262501,96572800
2019/10/29,62.2425,62.4375,60.642502,60.822498,142839600
2019/10/30,61.189999,61.325001,60.302502,60.814999,124522000
2019/10/31,61.810001,62.2925,59.314999,62.189999,139162000
2019/11/1,62.384998,63.982498,62.290001,63.955002,151125200
2019/11/4,64.332497,64.462502,63.845001,64.375,103272000
2019/11/5,64.262497,64.547501,64.080002,64.282501,79897600
2019/11/6,64.192497,64.372498,63.842499,64.309998,75864400
2019/11/7,64.684998,65.087502,64.527496,64.857498,94940400
2019/11/8,64.672501,65.110001,64.212502,65.035004,69986400
2019/11/11,64.574997,65.6175,64.57,65.550003,81821200
2019/11/12,65.387497,65.697502,65.230003,65.489998,87388800
2019/11/13,65.282501,66.195,65.267502,66.1175,102734400
2019/11/14,65.9375,66.220001,65.525002,65.660004,89182800
2019/11/15,65.919998,66.445,65.752502,66.440002,100206400
2019/11/18,66.449997,66.857498,66.057503,66.775002,86703200
2019/11/19,66.974998,67,66.347504,66.572502,76167200
2019/11/20,66.385002,66.519997,65.099998,65.797501,106234400
2019/11/21,65.922501,66.002502,65.294998,65.502502,121395200
2019/11/22,65.647499,65.794998,65.209999,65.445,65325200
2019/11/25,65.677498,66.610001,65.629997,66.592499,84020400
2019/11/26,66.735001,66.790001,65.625,66.072502,105207600
2019/11/27,66.394997,66.995003,66.327499,66.959999,65235600
2019/11/29,66.650002,67,66.474998,66.8125,46617600
2019/12/2,66.817497,67.0625,65.862503,66.040001,94487200
2019/12/3,64.577499,64.8825,64.072502,64.862503,114430400
2019/12/4,65.267502,65.827499,65.169998,65.434998,67181600
2019/12/5,65.947502,66.472504,65.682503,66.394997,74424400
2019/12/6,66.870003,67.75,66.824997,67.677498,106075600
2019/12/9,67.5,67.699997,66.227501,66.730003,128042400
2019/12/10,67.150002,67.517502,66.464996,67.120003,90420400
2019/12/11,67.202499,67.775002,67.125,67.692497,78756800
2019/12/12,66.945,68.139999,66.830002,67.864998,137310400
2019/12/13,67.864998,68.824997,67.732498,68.787498,133587600
2019/12/16,69.25,70.197502,69.245003,69.964996,128186000
2019/12/17,69.892502,70.442497,69.699997,70.102501,114158400
2019/12/18,69.949997,70.474998,69.779999,69.934998,116028400
2019/12/19,69.875,70.294998,69.737503,70.004997,98369200
2019/12/20,70.557503,70.662498,69.639999,69.860001,275978000
2019/12/23,70.1325,71.0625,70.092499,71,98572000
2019/12/24,71.172501,71.222504,70.730003,71.067497,48478800
2019/12/26,71.205002,72.495003,71.175003,72.477501,93121200
2019/12/27,72.779999,73.4925,72.029999,72.449997,146266000
2019/12/30,72.364998,73.172501,71.305,72.879997,144114400
2019/12/31,72.482498,73.419998,72.379997,73.412498,100805600
2020/1/2,74.059998,75.150002,73.797501,75.087502,135480400
2020/1/3,74.287498,75.144997,74.125,74.357498,146322800
2020/1/6,73.447502,74.989998,73.1875,74.949997,118387200
2020/1/7,74.959999,75.224998,74.370003,74.597504,108872000
2020/1/8,74.290001,76.110001,74.290001,75.797501,132079200
2020/1/9,76.809998,77.607498,76.550003,77.407501,170108400
2020/1/10,77.650002,78.167503,77.0625,77.582497,140644800
2020/1/13,77.910004,79.267502,77.787498,79.239998,121532000
2020/1/14,79.175003,79.392502,78.042503,78.169998,161954400
2020/1/15,77.962502,78.875,77.387497,77.834999,121923600
2020/1/16,78.397499,78.925003,78.022499,78.809998,108829200
2020/1/17,79.067497,79.684998,78.75,79.682503,137816400
2020/1/21,79.297501,79.754997,79,79.142502,110843200
2020/1/22,79.644997,79.997498,79.327499,79.425003,101832400
2020/1/23,79.480003,79.889999,78.912498,79.807503,104472000
2020/1/24,80.0625,80.832497,79.379997,79.577499,146537600
2020/1/27,77.514999,77.942497,76.220001,77.237503,161940000
2020/1/28,78.150002,79.599998,78.047501,79.422501,162234000
2020/1/29,81.112503,81.962502,80.345001,81.084999,216229200
2020/1/30,80.135002,81.022499,79.6875,80.967499,126743200
2020/1/31,80.232498,80.669998,77.072502,77.377502,199588400
2020/2/3,76.074997,78.372498,75.555,77.165001,173985600
