day,open,high,low,close,volume,entry,20daymax,maxday,HoldDays,ProfitRate,preday,preopen,prehigh,prelow,preclose,prevolume
2019/7/22,50.912498,51.807499,50.9025,51.805,89111600,50.9929999,55.342499,2019/7/31,9,8.530%,2019/7/19,51.447498,51.625,50.59,50.647499,83717200
2019/10/28,61.855,62.3125,61.68,62.262501,96572800,61.74325,67,2019/11/19,22,8.514%,2019/10/25,60.790001,61.682499,60.720001,61.645,73477200
2019/4/10,49.669998,50.185001,49.544998,50.154999,86781200,49.6089983,53.827499,2019/5/1,21,8.503%,2019/4/9,50.080002,50.712502,49.807499,49.875,143072800
2019/8/9,50.325001,50.689999,49.822498,50.247501,98478800,49.9092481,54.110001,2019/9/9,31,8.417%,2019/8/8,50.049999,50.8825,49.8475,50.857498,108038000
2019/7/15,51.022499,51.467499,51,51.302502,67789600,51.0467499,55.342499,2019/7/31,16,8.415%,2019/7/12,50.612499,51,50.549999,50.825001,70380800
2019/4/11,50.212502,50.25,49.610001,49.737499,83603200,49.6740009,53.827499,2019/5/1,20,8.362%,2019/4/10,49.669998,50.185001,49.544998,50.154999,86781200
2019/11/25,65.677498,66.610001,65.629997,66.592499,84020400,65.7279974,71.222504,2019/12/24,29,8.359%,2019/11/22,65.647499,65.794998,65.209999,65.445,65325200
2019/9/18,55.264999,55.712502,54.860001,55.692501,101360000,54.9452511,59.532501,2019/10/14,26,8.349%,2019/9/17,54.990002,55.205002,54.779999,55.174999,73274800
2019/9/10,53.465,54.195,52.927502,54.174999,127111600,53.0542518,57.482498,2019/10/7,27,8.347%,2019/9/9,53.709999,54.110001,52.767502,53.5425,109237600
2020/3/9,65.9375,69.522499,65.75,66.542503,286744800,66.1272499,71.610001,2020/3/10,1,8.291%,2020/3/6,70.5,72.705002,70.307503,72.2575,226176800
2019/4/16,49.865002,50.342499,49.639999,49.8125,102785600,49.710249,53.827499,2019/5/1,15,8.282%,2019/4/15,49.645,49.962502,49.502499,49.807499,70146400
2020/10/29,112.370003,116.93,112.199997,115.32,146129200,112.6729973,121.989998,2020/11/9,11,8.269%,2020/10/28,115.050003,115.43,111.099998,111.199997,143937800
2020/12/17,128.899994,129.580002,128.039993,128.699997,94359800,128.1939939,138.789993,2020/12/29,12,8.266%,2020/12/16,127.410004,128.369995,126.559998,127.809998,98208600
2019/5/21,46.305,47,46.174999,46.650002,113459200,46.2574991,50.072498,2019/6/18,28,8.247%,2019/5/20,45.880001,46.087502,45.07,45.772499,154449200
2019/2/13,42.8475,43.119999,42.48,42.544998,89960800,42.5439999,46.025002,2019/3/14,29,8.182%,2019/2/12,42.525002,42.75,42.424999,42.7225,89134000
2019/4/17,49.884998,50.845001,49.6525,50.782501,115627200,49.7717501,53.827499,2019/5/1,14,8.149%,2019/4/16,49.865002,50.342499,49.639999,49.8125,102785600
2019/11/21,65.922501,66.002502,65.294998,65.502502,121395200,65.3657484,70.662498,2019/12/20,29,8.103%,2019/11/20,66.385002,66.519997,65.099998,65.797501,106234400
2020/10/1,117.639999,117.720001,115.830002,116.790001,116120400,116.0190019,125.389999,2020/10/13,12,8.077%,2020/9/30,113.790001,117.260002,113.620003,115.809998,142675200
2019/11/20,66.385002,66.519997,65.099998,65.797501,106234400,65.2419979,70.474998,2019/12/18,28,8.021%,2019/11/19,66.974998,67,66.347504,66.572502,76167200
2019/6/14,47.887501,48.397499,47.575001,48.185001,75046000,47.6572508,51.467499,2019/7/15,31,7.995%,2019/6/13,48.674999,49.197498,48.400002,48.537498,86698400
2020/11/16,118.919998,120.989998,118.150002,120.300003,91183000,118.4340016,127.900002,2020/12/15,29,7.993%,2020/11/13,119.440002,119.669998,117.870003,119.260002,81581900
2019/2/12,42.525002,42.75,42.424999,42.7225,89134000,42.4574991,45.825001,2019/3/13,29,7.931%,2019/2/11,42.762501,42.802502,42.3125,42.357498,83973600
2019/4/30,50.764999,50.849998,49.7775,50.1675,186139600,49.8847498,53.827499,2019/5/1,1,7.904%,2019/4/29,51.099998,51.4925,50.965,51.1525,88818800
2019/9/19,55.502499,55.939999,55.092499,55.240002,88242400,55.177249,59.532501,2019/10/14,25,7.893%,2019/9/18,55.264999,55.712502,54.860001,55.692501,101360000
2019/4/9,50.080002,50.712502,49.807499,49.875,143072800,49.8979993,53.827499,2019/5/1,22,7.875%,2019/4/8,49.105,50.057499,49.084999,50.025002,103526800
2020/11/11,117.190002,119.629997,116.440002,119.489998,112295000,116.7590015,125.949997,2020/12/9,28,7.872%,2020/11/10,115.550003,117.589996,114.129997,115.970001,138023400
2020/2/3,76.074997,78.372498,75.555,77.165001,173985600,75.8367498,81.805,2020/2/12,9,7.870%,2020/1/31,80.232498,80.669998,77.072502,77.377502,199588400
2019/2/11,42.762501,42.802502,42.3125,42.357498,83973600,42.3615002,45.6675,2019/3/12,29,7.804%,2019/2/8,42.247501,42.665001,42.105,42.602501,95280000
2019/9/5,53,53.4925,52.877499,53.32,95654800,52.9389991,57.055,2019/10/1,26,7.775%,2019/9/4,52.0975,52.369999,51.830002,52.297501,76752400
2020/11/17,119.550003,120.669998,118.959999,119.389999,74271000,119.1309989,128.369995,2020/12/16,29,7.755%,2020/11/16,118.919998,120.989998,118.150002,120.300003,91183000
2020/10/26,114.010002,116.550003,112.879997,115.050003,111850700,113.2469976,121.989998,2020/11/9,14,7.720%,2020/10/23,116.389999,116.550003,114.279999,115.040001,82572600
2020/9/2,137.589996,137.979996,127,131.399994,200119000,128.0979996,137.979996,2020/9/2,0,7.714%,2020/9/1,132.759995,134.800003,130.529999,134.179993,152470100
2019/8/19,52.654999,53.182499,52.5075,52.587502,97654400,52.5749999,56.605,2019/9/12,24,7.665%,2019/8/16,51.07,51.790001,50.959999,51.625,110481600
2020/9/11,114.57,115.230003,110,112,180860300,110.5230003,118.830002,2020/9/15,4,7.516%,2020/9/10,120.360001,120.5,112.5,113.489998,182274400
2019/8/20,52.720001,53.337502,52.580002,52.59,107537200,52.655752,56.605,2019/9/12,23,7.500%,2019/8/19,52.654999,53.182499,52.5075,52.587502,97654400
2019/11/1,62.384998,63.982498,62.290001,63.955002,151125200,62.4592507,67.0625,2019/12/2,31,7.370%,2019/10/31,61.810001,62.2925,59.314999,62.189999,139162000
2019/8/8,50.049999,50.8825,49.8475,50.857498,108038000,49.951,53.610001,2019/8/22,14,7.325%,2019/8/7,48.852501,49.889999,48.455002,49.759998,133457600
